ID,Location,Ditch,Treatment,Ditch_Trt,Replicate,S,k
g20,Block 1,1,M,Ditch1_M,1,0.145523792,0.024786493
g18,Block 1,1,M,Ditch1_M,2,0.097728777,0.013432698
g16,Block 1,1,MF,Ditch1_MF,1,0.140695391,0.021026952
g17,Block 1,1,MF,Ditch1_MF,2,NA,NA
g11,Block 2,0,M,Ditch0_M,1,0.186367499,0.02601934
g9,Block 2,0,M,Ditch0_M,2,0.222280853,0.015464939
g13,Block 2,0,MF,Ditch0_MF,1,0.201887628,0.01658152
g14,Block 2,0,MF,Ditch0_MF,2,0.169096474,0.020522202
g4,Block 3,1,M,Ditch1_M,1,0.16266026,0.013202892
g3,Block 3,1,M,Ditch1_M,2,0.180795285,0.016968325
g8,Block 3,1,MF,Ditch1_MF,1,0.171325162,0.01958054
g6,Block 3,1,MF,Ditch1_MF,2,0.141431288,0.00477474
g40,Block 4,0,M,Ditch0_M,1,0.255558253,0.012498038
g2,Block 4,0,M,Ditch0_M,2,0.230433534,0.01095322
g37,Block 4,0,MF,Ditch0_MF,1,0.139137213,0.049113385
g39,Block 4,0,MF,Ditch0_MF,2,0.228656767,0.01361392
g27,Block 5,1,M,Ditch1_M,1,0.186814613,0.01903766
g25,Block 5,1,M,Ditch1_M,2,0.200115737,0.018461037
g30,Block 5,1,MF,Ditch1_MF,1,0.13560685,0.01389679
g29,Block 5,1,MF,Ditch1_MF,2,0.123510607,0.018845332
g33,Block 6,0,M,Ditch0_M,1,0.202414314,0.013932605
g31,Block 6,0,M,Ditch0_M,2,0.215872812,0.012833245
g36,Block 6,0,MF,Ditch0_MF,1,0.106015407,0.015826927
g34,Block 6,0,MF,Ditch0_MF,2,0.15168203,0.030755043
g54,Block 7,1,M,Ditch1_M,1,0.198461257,0.018706965
g53,Block 7,1,M,Ditch1_M,2,0.202448835,0.019068428
g57,Block 7,1,MF,Ditch1_MF,1,0.150280561,0.01979083
g56,Block 7,1,MF,Ditch1_MF,2,0.189818767,0.019150952
g21,Block 8,0,M,Ditch0_M,1,0.2789951,0.015912329
g59,Block 8,0,M,Ditch0_M,2,0.261151974,0.013168373
g22,Block 8,0,MF,Ditch0_MF,1,0.201345319,0.014746948
g23,Block 8,0,MF,Ditch0_MF,2,0.141971254,0.010927087