sample,treatment,Agalinus.purpurea,Aster.novi.belgii,Bidens.bipinnata,Chamaecrista.fasciculata,Clematis.dioscoreifolia,Erechtites.graminifolia,Eupatorium.capillifolium,Eupatorium.pilosum,Eupatorium.recurvans,Eupatorium.rotundifolium,Eupatorium.semiserratum,Euthamia.caroliniana,Gelsemium.sempervirens,Gnaphalium.purpureum,Gratiola.pilosa,Hypericum.sp.,Lespedeza.cuneata,Lespedeza.capitata,Lespedeza.hirta,Lobelia.nuttallii,Ludwigia.alternifolia,Ludwigia.hirtella,Lycopodium....club.moss,Osmunda.regalis...Royal.fern,Packera.tomentosa,Polygala.cruciata,Polygala.lutea,Pteridium.aquilinum,Pycnanthemum.flexuosum,Rhexia.mariana,Rhexia.virginica,Rhus.radicans..poison.ivy,Rubus.hispidus.dewberry,Scutellaria.integrifolia,Smilax.glauca,Smilax.rotundifolia,Solanum.carolinense,Solidago.pinetorum,Solidago.puberula,Solidago.rugosa,Solidago.stricta,Sphagnum.sp.moss,Viola.primulifolia,Acer.rubrum.RED.MAPLE,Amelanchier.canadensis,Aronia.arbutifolia,Clethra.alnifolia,Crataegus.sp.,Cyrilla.racemiflora.TITI,Ilex.glabra.INKBERRY,Itea.virginica,Liquidambar.styraciflua.SWEET.GUM,Magnolia.virginiana,Nyssa.sylvatica.BLACK.GUM,Pinus.taeda.LOBLOLLY.PINE,Prunus.serotina.BLACK.CHERRY,Rhus.copallinum.WINGED.SUMAC,Rubus.argutus.BLACKBERRY,Symplocos.tinctoria.HORSE.SUGAR,Vaccinium.sp,Viburnum.nudum,Agrostis.hiemalis,Amphicarpum.purshii.goober.grass,Andropogon.virginicus.BROOMSEDGE,Andropogon.glaucopsis,Aristida.virgata.THREE.AWN.GRASS,Arundinaria.tecta.SWITCHCANE,Calamagrostis.coarctata,Chasmanthium.laxum,Dichanthelium.lucidum,Dichanthelium.scabriusculum,Dichanthelium.scoparium,Juncus.biflorus,Juncus.canadensis,Juncus.dichotomous,Juncus.effusus,Carex.glaucescens,Rhynchospora.inexpansa,Saccharaum.giganteum,Scirpus.cyperinus.BULLRUSH,Scleria.minor.NUTRUSH,Unknown.grass,Unknown,plot_sum
WRC18_161,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11627907,0,0.093023256,0.248062016,0,0,0,0.015503876,0,0,0,0.015503876,0.007751938,0,0.372093023,0,0,0.007751938,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07751938,0.03875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_162,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0.310077519,0.410852713,0,0,0,0,0,0,0,0,0,0.007751938,0.147286822,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0,0.054263566,0,0.03875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_163,M,0,0,0,0,0,0,0,0,0,0.019384265,0,0.05359179,0,0,0.001140251,0,0,0,0.015963512,0,0,0,0,0,0.037628278,0,0,0,0.004561003,0.006841505,0,0,0.003420753,0,0.087799316,0.050171038,0,0,0,0.061573546,0.002280502,0,0,0.001140251,0.001140251,0.002280502,0.03990878,0,0,0,0,0,0,0,0,0,0.005701254,0.005701254,0,0,0,0,0,0.007981756,0,0,0.062713797,0,0.18700114,0.060433295,0,0.281641961,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_164,MF,0,0,0,0,0,0,0.034423408,0,0,0.008605852,0,0.075731497,0,0,0,0,0,0,0,0.003442341,0,0,0,0,0,0,0,0,0,0,0,0,0.00172117,0,0.039586919,0.017211704,0,0,0,0.091222031,0,0,0,0,0,0,0.017211704,0,0,0,0,0,0,0,0,0,0.024096386,0.008605852,0,0,0,0,0,0,0,0,0.471600688,0,0.103270224,0.024096386,0,0.053356282,0,0,0.024096386,0,0,0,0,0,0,0.00172117,0,1
WRC18_165,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084337349,0,0,0,0,0,0,0.108433735,0.036144578,0,0,0,0,0,0,0,0,0.024096386,0.048192771,0.156626506,0,0.012048193,0.012048193,0.060240964,0.012048193,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0.43373494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_166,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037974684,0.069620253,0,0,0,0,0,0,0,0,0,0.069620253,0.101265823,0,0,0,0,0,0,0,0,0,0,0,0,0.006329114,0,0,0,0,0,0,0.14556962,0,0.569620253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_167,M,0,0,0,0,0,0,0,0.010723861,0.00536193,0.050938338,0.002680965,0.117962466,0,0,0.001340483,0,0,0.006702413,0,0.004021448,0,0,0,0,0.009383378,0.001340483,0,0.013404826,0.001340483,0.018766756,0,0,0.022788204,0,0.038873995,0,0,0,0,0,0.113941019,0,0,0,0,0.026809651,0,0,0.001340483,0,0,0.018766756,0,0.001340483,0,0,0.001340483,0.001340483,0,0,0,0,0,0.063002681,0,0.022788204,0.150134048,0,0.162198391,0.064343164,0.029490617,0,0,0,0,0,0,0.028150134,0,0,0,0,0.009383378,1
WRC18_168,MF,0,0,0,0,0,0,0,0,0,0.052030457,0,0.123096447,0,0,0.001269036,0,0,0,0,0,0,0,0,0,0.019035533,0,0,0.001269036,0,0.010152284,0,0,0.044416244,0,0.040609137,0.006345178,0,0,0,0.02284264,0.026649746,0,0,0,0.005076142,0.003807107,0.049492386,0,0.002538071,0,0,0.005076142,0,0,0,0,0.003807107,0.002538071,0,0,0,0,0,0.003807107,0,0,0.092639594,0,0.257614213,0.109137056,0,0.019035533,0,0,0.069796954,0,0.002538071,0.025380711,0,0,0,0,0,1
WRC18_169,C,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038095238,0,0.180952381,0.104761905,0,0,0,0,0,0,0,0,0.00952381,0.00952381,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_170,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0.017857143,0.214285714,0,0,0,0,0,0,0,0,0.035714286,0,0.107142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232142857,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_171,M,0,0,0,0,0,0,0,0,0,0.015306122,0,0.086734694,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0.011904762,0.010204082,0,0.013605442,0,0.083333333,0,0,0.120748299,0,0.12244898,0,0,0,0,0,0,0.025510204,0,0,0,0.003401361,0.008503401,0,0,0,0,0.013605442,0,0,0,0,0,0,0.008503401,0,0,0.340136054,0,0.042517007,0.037414966,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_172,MF,0,0,0,0,0,0,0.010494753,0,0,0.067466267,0,0.062968516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010494753,0,0,0,0.013493253,0,0.043478261,0.023988006,0,0,0,0.052473763,0,0,0,0,0.007496252,0.004497751,0.00149925,0,0,0,0,0,0,0,0,0,0.004497751,0.035982009,0,0,0,0,0,0,0,0,0.262368816,0,0.191904048,0.100449775,0,0.019490255,0,0,0.085457271,0,0,0,0,0,0,0,0.00149925,1
WRC18_173,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0.143518519,0.12962963,0,0,0,0,0,0,0,0,0,0.046296296,0.152777778,0,0.023148148,0,0,0,0,0.023148148,0,0,0,0,0,0,0,0,0,0,0,0,0.101851852,0,0.365740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_174,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160493827,0.086419753,0,0,0,0,0,0,0,0,0,0.086419753,0.12345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0.456790123,0.012345679,0,0,0,0,0,0,0.061728395,0,0,0,0,0,0,1
WRC18_175,M,0,0,0,0,0,0,0,0,0,0.050572519,0,0.054389313,0,0,0,0,0,0,0,0.000954198,0.000954198,0,0,0,0.006679389,0,0,0,0,0.001908397,0.000954198,0,0.000954198,0,0.066793893,0.001908397,0,0,0,0.016221374,0.261450382,0,0,0,0.04389313,0.030534351,0.016221374,0,0.011450382,0.007633588,0.002862595,0,0,0,0,0,0.000954198,0,0,0,0,0,0.004770992,0.102099237,0,0.007633588,0.101145038,0,0.15648855,0.022900763,0.002862595,0.000954198,0,0,0,0,0,0,0,0,0.022900763,0,0.000954198,1
WRC18_176,MF,0,0,0,0.001375516,0,0,0,0,0.006877579,0.027510316,0,0.038514443,0,0,0,0,0,0.004126547,0,0,0,0,0,0,0.01650619,0,0,0,0.015130674,0.024759285,0,0.005502063,0.002751032,0,0.063273728,0.013755158,0,0,0,0.034387895,0.022008253,0,0,0,0,0.01650619,0,0,0,0,0.006877579,0.008253095,0,0,0,0,0,0.011004127,0,0,0,0,0,0.004126547,0,0,0.094910591,0,0.404401651,0.088033012,0,0.008253095,0,0,0.081155433,0,0,0,0,0,0,0,0,1
WRC18_177,C,0,0,0,0,0,0,0,0,0,0.138686131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02919708,0,0.401459854,0.02919708,0,0,0,0,0,0,0,0,0.02919708,0,0.218978102,0,0,0,0,0,0,0,0,0,0,0.01459854,0,0,0,0,0,0,0,0,0.138686131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_178,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0.022222222,0.211111111,0,0,0,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0,0,0,0,0.144444444,0,0.522222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_179,M,0,0,0,0,0,0,0.031128405,0,0,0.025940337,0,0.029831388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0,0.002594034,0.005188067,0,0.046692607,0.027237354,0,0.118028534,0,0.083009079,0.051880674,0,0,0,0,0.005188067,0.011673152,0,0.001297017,0,0.005188067,0.016861219,0,0.012970169,0,0,0.009079118,0.016861219,0,0,0,0,0,0.054474708,0,0,0.31387808,0,0.047989624,0.053177691,0,0.025940337,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_180,MF,0,0,0,0,0,0,0,0,0,0.012612613,0,0.057657658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014414414,0,0.018018018,0,0,0,0,0.021621622,0,0,0,0,0,0,0.003603604,0,0,0,0,0.003603604,0,0,0,0,0.014414414,0.023423423,0,0,0,0,0,0,0,0,0.418018018,0,0.171171171,0.066666667,0,0.007207207,0,0,0.001801802,0,0,0,0,0,0,0.111711712,0.054054054,1
WRC18_181,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027586207,0.034482759,0,0,0,0,0,0,0,0.020689655,0.027586207,0.082758621,0.248275862,0,0.006896552,0,0,0,0,0.013793103,0,0,0,0,0,0,0,0,0,0,0,0,0.048275862,0,0.282758621,0,0,0,0,0,0,0,0,0,0,0,0,0.206896552,0,1
WRC18_182,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016304348,0,0,0,0,0,0,0.016304348,0.070652174,0,0,0,0,0.02173913,0,0,0.005434783,0.02173913,0.135869565,0.059782609,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0.005434783,0,0,0,0,0,0.016304348,0,0.608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_183,M,0.001067236,0,0,0,0,0,0,0,0.004268943,0.048025614,0,0.066168623,0,0,0,0,0,0,0,0.002134472,0,0,0,0,0,0,0,0,0.005336179,0.013874066,0,0,0.028815368,0,0.021344717,0,0,0.002134472,0,0.035218783,0.22945571,0,0,0.005336179,0,0.027748132,0.032017076,0,0.04375667,0,0,0.002134472,0,0,0,0,0,0,0,0,0,0,0,0.06189968,0,0.022411953,0.147278549,0,0.070437567,0.09284952,0,0,0,0.005336179,0,0,0,0.005336179,0,0,0.024546425,0,0.001067236,1
WRC18_184,MF,0,0,0,0,0,0,0,0,0.005856515,0.035139092,0,0.068814056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020497804,0.014641288,0,0,0.007320644,0,0.020497804,0,0,0,0,0.026354319,0.001464129,0,0,0,0,0,0.002928258,0,0,0,0.001464129,0.010248902,0,0.002928258,0,0,0.002928258,0.026354319,0,0,0,0,0,0,0,0,0.295754026,0,0.345534407,0.030746706,0,0.020497804,0,0,0.042459736,0.011713031,0.002928258,0,0,0,0,0,0.002928258,1
WRC18_185,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006060606,0,0,0.336363636,0.324242424,0,0,0,0,0,0,0,0.003030303,0.009090909,0.015151515,0.045454545,0,0,0,0,0,0,0,0,0.006060606,0,0,0.024242424,0,0,0,0,0,0,0,0.057575758,0,0.172727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_186,F,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0.204545455,0.068181818,0,0,0,0,0,0,0,0,0,0.318181818,0,0,0,0,0,0.022727273,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_187,M,0,0,0,0,0,0,0,0,0,0.01978691,0.00304414,0.04718417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761035,0,0,0.01217656,0,0.03652968,0,0,0,0,0.143074581,0.053272451,0,0,0,0.00304414,0,0.00913242,0,0,0,0,0.00761035,0,0,0,0,0.00608828,0,0,0,0,0,0,0.0152207,0,0,0.257229833,0,0.187214612,0.089802131,0,0.100456621,0,0,0,0,0,0.00152207,0,0,0,0,0,1
WRC18_188,MF,0,0,0,0,0,0,0,0,0,0.012589928,0.084532374,0.053956835,0,0,0,0,0,0,0,0,0.001798561,0,0,0,0,0,0,0,0.001798561,0.014388489,0,0,0.01618705,0,0.043165468,0.005395683,0,0,0,0.084532374,0.007194245,0,0,0,0,0,0,0,0,0,0,0.007194245,0,0,0,0,0,0.037769784,0,0,0,0,0,0,0,0,0.375899281,0,0.100719424,0.06294964,0,0.017985612,0,0.001798561,0.017985612,0,0,0,0,0,0,0.052158273,0,1
WRC18_189,C,0,0,0,0,0,0,0,0,0,0.013651877,0,0,0,0,0,0,0,0,0,0,0,0,0.013651877,0,0,0,0,0.017064846,0,0.010238908,0,0,0.017064846,0,0.385665529,0.068259386,0,0,0,0.003412969,0.027303754,0,0,0.034129693,0,0.167235495,0.034129693,0,0,0.006825939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071672355,0,0.129692833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_190,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.005,0.005,0,0,0.085,0,0.045,0,0,0,0,0,0.07,0,0,0.005,0,0.065,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.665,0,0.005,0,0,0,0,0.01,0,0,0,0,0,0,0,1
WRC18_191,M,0,0,0,0,0,0,0.052694611,0,0.019161677,0.017964072,0,0.079041916,0,0,0,0,0,0,0,0,0,0,0.003592814,0,0,0.001197605,0,0.001197605,0.025149701,0.017964072,0.010778443,0,0.001197605,0,0.017964072,0,0,0,0,0.003592814,0.239520958,0,0.001197605,0.003592814,0.00239521,0.004790419,0.032335329,0,0,0,0,0.014371257,0.017964072,0,0,0,0,0.001197605,0,0,0,0,0,0.11497006,0,0,0.113772455,0,0.017964072,0.056287425,0.02994012,0.015568862,0,0,0.010778443,0,0.015568862,0.013173653,0,0,0.043113772,0,0,1
WRC18_192,MF,0,0,0,0,0,0,0.0128,0,0.0112,0,0,0,0,0,0,0,0,0,0,0,0.0144,0,0,0,0,0,0,0.0048,0.0096,0.0208,0.0048,0,0.0096,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0,0,0,0,0,0,0,0,0.3184,0,0.2048,0.0432,0,0.0336,0.0912,0.016,0.0176,0.1536,0.0032,0,0.0032,0.0016,0,0.0064,0,1