"","OTU","Sample","Abundance","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","Kingdom","Phylum","Class","Order","Family","Genus"
"1","Otu00042","WRC18_09_Tea",0.0777230090888293,"WRC18_Tea_9","Green Tea","M",5,1,60.435,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"2","Otu00042","WRC18_15_Tea",0.053187702568522,"WRC18_Tea_15","Green Tea","MF",8,0,57.44,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"3","Otu00042","WRC18_05_Tea",0.0485843714609287,"WRC18_Tea_5","Green Tea","M",3,1,58.585,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"4","Otu00042","WRC18_07_Tea",0.0465705597477193,"WRC18_Tea_7","Green Tea","M",4,0,57.075,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"5","Otu00042","WRC18_11_Tea",0.0401694220521929,"WRC18_Tea_11","Green Tea","M",6,0,54.79,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"6","Otu00042","WRC18_04_Tea",0.0255792584498473,"WRC18_Tea_4","Green Tea","MF",2,0,62.77,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"7","Otu00042","WRC18_06_Tea",0.0243988328805715,"WRC18_Tea_6","Green Tea","MF",3,1,64.14,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"8","Otu00042","WRC18_27_Tea",0.0196017664833036,"WRC18_Tea_27","Rooibos Tea","MF",7,1,37.12,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"9","Otu00042","WRC18_14_Tea",0.0185547006589142,"WRC18_Tea_14","Green Tea","M",8,0,53.085,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"10","Otu00042","WRC18_20_Tea",0.0182580145743801,"WRC18_Tea_20","Rooibos Tea","MF",3,1,56.615,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"11","Otu00042","WRC18_02_Tea",0.0168927631918296,"WRC18_Tea_2","Green Tea","MF",1,1,72.23,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"12","Otu00042","WRC18_25_Tea",0.0162132327576294,"WRC18_Tea_25","Rooibos Tea","MF",6,0,35.87,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"13","Otu00042","WRC18_22_Tea",0.0134900357690342,"WRC18_Tea_22","Rooibos Tea","M",5,1,35.75,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"14","Otu00042","WRC18_08_Tea",0.0126515945500823,"WRC18_Tea_8","Green Tea","MF",4,0,59.6,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"15","Otu00042","WRC18_16_Tea",0.0123900879296563,"WRC18_Tea_16","Rooibos Tea","M",1,1,37.84,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"16","Otu00042","WRC18_01_Tea",0.0115181854427856,"WRC18_Tea_1","Green Tea","M",1,1,66.855,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"17","Otu00042","WRC18_23_Tea",0.011506078484893,"WRC18_Tea_23","Rooibos Tea","MF",5,1,47.21,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"18","Otu00042","WRC18_03_Tea",0.0103793096905182,"WRC18_Tea_3","Green Tea","M",2,0,58,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"19","Otu00173","WRC18_19_Tea",0.0314383642595438,"WRC18_Tea_19","Rooibos Tea","M",3,1,30.425,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Lacibacterium"
"20","Otu00029","WRC18_17_Tea",0.140083985013453,"WRC18_Tea_17","Rooibos Tea","M",2,0,36.645,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"21","Otu00029","WRC18_21_Tea",0.124153096398431,"WRC18_Tea_21","Rooibos Tea","MF",4,0,45.95,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"22","Otu00029","WRC18_26_Tea",0.0787578838285479,"WRC18_Tea_26","Rooibos Tea","M",7,1,35.69,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"23","Otu00029","WRC18_07_Tea",0.0614558696549912,"WRC18_Tea_7","Green Tea","M",4,0,57.075,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"24","Otu00029","WRC18_23_Tea",0.0537720200726479,"WRC18_Tea_23","Rooibos Tea","MF",5,1,47.21,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"25","Otu00029","WRC18_11_Tea",0.053481154724494,"WRC18_Tea_11","Green Tea","M",6,0,54.79,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"26","Otu00029","WRC18_25_Tea",0.0498355679230964,"WRC18_Tea_25","Rooibos Tea","MF",6,0,35.87,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"27","Otu00029","WRC18_03_Tea",0.0494487770630538,"WRC18_Tea_3","Green Tea","M",2,0,58,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"28","Otu00029","WRC18_22_Tea",0.0410015329586101,"WRC18_Tea_22","Rooibos Tea","M",5,1,35.75,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"29","Otu00029","WRC18_29_Tea",0.0400982210496069,"WRC18_Tea_29","Rooibos Tea","MF",8,0,29.805,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"30","Otu00029","WRC18_28_Tea",0.0396279822078447,"WRC18_Tea_28","Rooibos Tea","M",8,0,25.09,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"31","Otu00029","WRC18_18_Tea",0.0328330984163834,"WRC18_Tea_18","Rooibos Tea","MF",2,0,44.1,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"32","Otu00029","WRC18_19_Tea",0.0312492613166292,"WRC18_Tea_19","Rooibos Tea","M",3,1,30.425,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"33","Otu00029","WRC18_01_Tea",0.0301244850042086,"WRC18_Tea_1","Green Tea","M",1,1,66.855,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"34","Otu00029","WRC18_16_Tea",0.0298649968913758,"WRC18_Tea_16","Rooibos Tea","M",1,1,37.84,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"35","Otu00029","WRC18_24_Tea",0.0240506613370461,"WRC18_Tea_24","Rooibos Tea","M",6,0,26.995,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"36","Otu00029","WRC18_14_Tea",0.0220581299772277,"WRC18_Tea_14","Green Tea","M",8,0,53.085,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"37","Otu00029","WRC18_12_Tea",0.0207508696173684,"WRC18_Tea_12","Green Tea","M",7,1,58.32,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"38","Otu00029","WRC18_27_Tea",0.0200278918416363,"WRC18_Tea_27","Rooibos Tea","MF",7,1,37.12,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"39","Otu00029","WRC18_04_Tea",0.0137084957905978,"WRC18_Tea_4","Green Tea","MF",2,0,62.77,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"40","Otu00029","WRC18_05_Tea",0.0137032842582106,"WRC18_Tea_5","Green Tea","M",3,1,58.585,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
"41","Otu00029","WRC18_08_Tea",0.0103059340220592,"WRC18_Tea_8","Green Tea","MF",4,0,59.6,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclassified"
